account_id,future_liquidation_count,future_borrow_count,future_repay_count,future_failed_tx_ratio,risk_label,risk_label_id
1,0.0,0.0,10.0,0.0,LOW,0
2,1.0,2.0,0.0,0.125,MEDIUM,1
3,0.0,0.0,4.0,0.2,HIGH,2
4,1.0,0.0,2.0,0.0,MEDIUM,1
5,0.0,0.0,0.0,0.0,LOW,0
6,1.0,2.0,1.0,0.0,MEDIUM,1
7,0.0,0.0,11.0,0.0,LOW,0
8,0.0,0.0,0.0,0.0,LOW,0
9,2.0,2.0,0.0,0.16666666666666666,HIGH,2
10,0.0,0.0,13.0,0.0,LOW,0
11,0.0,0.0,7.0,0.0,LOW,0
12,0.0,0.0,5.0,0.0,LOW,0
13,0.0,2.0,4.0,0.2,HIGH,2
14,0.0,1.0,2.0,0.125,MEDIUM,1
15,0.0,1.0,3.0,0.0,LOW,0
16,0.0,0.0,5.0,0.0,LOW,0
17,0.0,0.0,0.0,0.0,LOW,0
18,0.0,1.0,0.0,0.3333333333333333,HIGH,2
19,0.0,1.0,1.0,0.16666666666666666,MEDIUM,1
20,0.0,0.0,4.0,0.0,LOW,0
21,0.0,0.0,0.0,0.0,LOW,0
22,0.0,0.0,9.0,0.09090909090909091,LOW,0
23,3.0,3.0,0.0,0.0,HIGH,2
24,1.0,1.0,0.0,0.0,MEDIUM,1
25,0.0,0.0,4.0,0.0,LOW,0
26,0.0,0.0,4.0,0.0,LOW,0
27,0.0,1.0,1.0,0.2,HIGH,2
28,0.0,0.0,3.0,0.0,LOW,0
29,2.0,2.0,2.0,0.0,HIGH,2
30,0.0,1.0,3.0,0.0,LOW,0
31,1.0,3.0,0.0,0.0,MEDIUM,1
32,0.0,0.0,3.0,0.0,LOW,0
33,2.0,4.0,1.0,0.125,HIGH,2
34,0.0,1.0,1.0,0.0,LOW,0
35,0.0,0.0,7.0,0.0,LOW,0
36,0.0,1.0,4.0,0.0,LOW,0
37,0.0,1.0,7.0,0.0,LOW,0
38,0.0,0.0,8.0,0.0,LOW,0
39,0.0,0.0,4.0,0.0,LOW,0
40,0.0,0.0,5.0,0.0,LOW,0
41,1.0,1.0,4.0,0.0,MEDIUM,1
42,1.0,1.0,4.0,0.14285714285714285,MEDIUM,1
43,0.0,2.0,7.0,0.0,LOW,0
44,0.0,0.0,0.0,0.0,LOW,0
45,1.0,0.0,3.0,0.0,MEDIUM,1
46,0.0,0.0,6.0,0.0,LOW,0
47,0.0,1.0,6.0,0.1111111111111111,MEDIUM,1
48,0.0,0.0,5.0,0.0,LOW,0
49,0.0,0.0,0.0,0.0,LOW,0
50,0.0,0.0,5.0,0.0,LOW,0
51,0.0,1.0,8.0,0.08333333333333333,LOW,0
52,0.0,1.0,3.0,0.0,LOW,0
53,0.0,0.0,2.0,0.0,LOW,0
54,1.0,2.0,0.0,0.0,MEDIUM,1
55,0.0,1.0,5.0,0.125,MEDIUM,1
56,0.0,0.0,0.0,0.0,LOW,0
57,0.0,0.0,8.0,0.0,LOW,0
58,0.0,0.0,7.0,0.0,LOW,0
59,0.0,0.0,2.0,0.0,LOW,0
60,0.0,0.0,4.0,0.0,LOW,0
61,1.0,1.0,1.0,0.0,MEDIUM,1
62,1.0,0.0,2.0,0.0,MEDIUM,1
63,0.0,0.0,8.0,0.0,LOW,0
64,0.0,0.0,2.0,0.0,LOW,0
65,0.0,1.0,0.0,0.3333333333333333,HIGH,2
66,0.0,0.0,5.0,0.0,LOW,0
67,0.0,0.0,0.0,0.0,LOW,0
68,0.0,1.0,4.0,0.0,LOW,0
69,0.0,0.0,6.0,0.0,LOW,0
70,0.0,0.0,0.0,0.0,LOW,0
71,0.0,2.0,2.0,0.0,LOW,0
72,0.0,1.0,6.0,0.0,LOW,0
73,0.0,0.0,0.0,0.14285714285714285,MEDIUM,1
74,0.0,0.0,1.0,0.0,LOW,0
75,0.0,0.0,3.0,0.0,LOW,0
76,0.0,0.0,2.0,0.2,HIGH,2
77,0.0,0.0,7.0,0.0,LOW,0
78,0.0,1.0,1.0,0.0,LOW,0
79,0.0,0.0,4.0,0.0,LOW,0
80,0.0,0.0,9.0,0.0,LOW,0
81,0.0,1.0,8.0,0.0,LOW,0
82,1.0,2.0,2.0,0.14285714285714285,MEDIUM,1
83,0.0,1.0,3.0,0.0,LOW,0
84,0.0,1.0,8.0,0.07692307692307693,LOW,0
85,0.0,0.0,0.0,0.0,LOW,0
86,0.0,1.0,4.0,0.0,LOW,0
87,0.0,0.0,4.0,0.0,LOW,0
88,0.0,0.0,5.0,0.14285714285714285,MEDIUM,1
89,0.0,0.0,5.0,0.0,LOW,0
90,1.0,2.0,3.0,0.0,MEDIUM,1
91,0.0,1.0,4.0,0.0,LOW,0
92,1.0,2.0,3.0,0.0,MEDIUM,1
93,0.0,0.0,7.0,0.0,LOW,0
94,0.0,0.0,0.0,0.0,LOW,0
95,0.0,0.0,2.0,0.0,LOW,0
96,0.0,0.0,8.0,0.0,LOW,0
97,0.0,0.0,0.0,0.0,LOW,0
98,0.0,0.0,3.0,0.4,HIGH,2
99,0.0,0.0,1.0,0.0,LOW,0
100,1.0,2.0,0.0,0.0,MEDIUM,1
101,0.0,1.0,0.0,0.25,HIGH,2
102,1.0,0.0,3.0,0.0,MEDIUM,1
103,0.0,0.0,8.0,0.09090909090909091,LOW,0
104,0.0,1.0,6.0,0.0,LOW,0
105,0.0,1.0,7.0,0.0,LOW,0
106,0.0,1.0,1.0,0.0,LOW,0
107,0.0,0.0,1.0,0.0,LOW,0
108,0.0,0.0,0.0,0.0,LOW,0
109,0.0,1.0,6.0,0.1,MEDIUM,1
110,2.0,2.0,1.0,0.0,HIGH,2
111,0.0,0.0,2.0,0.25,HIGH,2
112,0.0,0.0,6.0,0.0,LOW,0
113,2.0,2.0,1.0,0.1111111111111111,HIGH,2
114,0.0,1.0,3.0,0.0,LOW,0
115,0.0,0.0,2.0,0.0,LOW,0
116,0.0,0.0,3.0,0.0,LOW,0
117,0.0,0.0,3.0,0.0,LOW,0
118,4.0,3.0,0.0,0.0,HIGH,2
119,0.0,0.0,6.0,0.0,LOW,0
120,0.0,1.0,4.0,0.0,LOW,0
121,0.0,0.0,6.0,0.0,LOW,0
122,1.0,0.0,3.0,0.0,MEDIUM,1
123,0.0,1.0,1.0,0.0,LOW,0
124,0.0,0.0,0.0,0.0,LOW,0
125,1.0,0.0,0.0,0.0,MEDIUM,1
126,0.0,0.0,6.0,0.0,LOW,0
127,1.0,0.0,6.0,0.0,MEDIUM,1
128,1.0,1.0,0.0,0.0,MEDIUM,1
129,0.0,1.0,0.0,0.0,LOW,0
130,1.0,2.0,4.0,0.09090909090909091,MEDIUM,1
131,0.0,0.0,3.0,0.0,LOW,0
132,0.0,0.0,0.0,0.0,LOW,0
133,0.0,1.0,7.0,0.0,LOW,0
134,0.0,0.0,4.0,0.0,LOW,0
135,1.0,0.0,4.0,0.09090909090909091,MEDIUM,1
136,2.0,3.0,0.0,0.1,HIGH,2
137,0.0,1.0,4.0,0.0,LOW,0
138,0.0,2.0,2.0,0.125,MEDIUM,1
139,0.0,0.0,3.0,0.0,LOW,0
140,0.0,0.0,0.0,0.0,LOW,0
141,0.0,0.0,5.0,0.0,LOW,0
142,0.0,0.0,0.0,0.0,LOW,0
143,0.0,1.0,2.0,0.0,LOW,0
144,0.0,0.0,0.0,0.0,LOW,0
145,1.0,2.0,5.0,0.0,MEDIUM,1
146,1.0,1.0,0.0,0.2,HIGH,2
147,0.0,0.0,0.0,0.0,LOW,0
148,0.0,0.0,0.0,0.0,LOW,0
149,1.0,2.0,2.0,0.2222222222222222,HIGH,2
150,0.0,1.0,1.0,0.0,LOW,0
151,0.0,2.0,5.0,0.125,MEDIUM,1
152,1.0,1.0,3.0,0.0,MEDIUM,1
153,0.0,0.0,3.0,0.0,LOW,0
154,0.0,0.0,0.0,0.0,LOW,0
155,2.0,2.0,0.0,0.0,HIGH,2
156,0.0,0.0,8.0,0.0,LOW,0
157,0.0,0.0,2.0,0.0,LOW,0
158,0.0,0.0,0.0,0.09090909090909091,LOW,0
159,0.0,0.0,5.0,0.0,LOW,0
160,0.0,0.0,7.0,0.0,LOW,0
161,2.0,2.0,1.0,0.0,HIGH,2
162,0.0,0.0,0.0,0.0,LOW,0
163,0.0,2.0,0.0,0.0,LOW,0
164,0.0,0.0,0.0,0.0,LOW,0
165,0.0,0.0,0.0,0.0,LOW,0
166,0.0,1.0,4.0,0.0,LOW,0
167,0.0,0.0,0.0,0.0,LOW,0
168,0.0,0.0,7.0,0.0,LOW,0
169,0.0,2.0,9.0,0.0,LOW,0
170,0.0,0.0,9.0,0.0,LOW,0
171,0.0,0.0,8.0,0.0,LOW,0
172,0.0,0.0,5.0,0.0,LOW,0
173,0.0,0.0,5.0,0.0,LOW,0
174,0.0,0.0,0.0,0.0,LOW,0
175,0.0,1.0,5.0,0.0,LOW,0
176,1.0,3.0,3.0,0.0,MEDIUM,1
177,0.0,0.0,4.0,0.0,LOW,0
178,0.0,0.0,0.0,0.1,MEDIUM,1
179,0.0,0.0,7.0,0.0,LOW,0
180,1.0,0.0,2.0,0.0,MEDIUM,1
181,0.0,0.0,2.0,0.2,HIGH,2
182,0.0,1.0,4.0,0.125,MEDIUM,1
183,0.0,0.0,0.0,0.0,LOW,0
184,0.0,0.0,9.0,0.0,LOW,0
185,0.0,0.0,5.0,0.0,LOW,0
186,0.0,0.0,1.0,0.0,LOW,0
187,0.0,0.0,0.0,0.0,LOW,0
188,0.0,0.0,0.0,0.0,LOW,0
189,0.0,1.0,3.0,0.0,LOW,0
190,0.0,1.0,7.0,0.0,LOW,0
191,0.0,0.0,6.0,0.125,MEDIUM,1
192,1.0,2.0,3.0,0.0,MEDIUM,1
193,2.0,3.0,0.0,0.0,HIGH,2
194,0.0,1.0,2.0,0.0,LOW,0
195,0.0,1.0,0.0,0.0,LOW,0
196,0.0,0.0,6.0,0.0,LOW,0
197,0.0,0.0,6.0,0.0,LOW,0
198,0.0,0.0,0.0,0.0,LOW,0
199,0.0,1.0,6.0,0.0,LOW,0
200,0.0,0.0,6.0,0.0,LOW,0
