account_id,liquidation_risk,borrowing_risk,repayment_risk,transaction_risk,capital_flow_risk,overall_risk
1,0.3715,0.7283999999999999,0.47350000000000003,0.3335,0.2537,0.459655
2,0.3715,0.4189,0.48675,0.3335,0.5063,0.42282
3,0.3715,0.6275,0.15025000000000002,0.3335,0.7212000000000001,0.439905
4,0.3715,0.54175,0.19275,0.3335,0.8844,0.4514475
5,0.3715,0.67215,0.10574999999999998,0.3335,0.2537,0.3720425
6,0.9004,0.9314,0.63675,0.3335,0.2537,0.7017249999999999
7,0.3715,0.7435,0.5377500000000001,0.3335,0.431,0.5028750000000001
8,0.3715,0.4993,0.22112500000000002,0.3335,0.2537,0.351905
9,0.9192,0.9204,0.553,0.75695,0.4107,0.7537600000000001
10,0.3715,0.6565,0.62425,0.3335,0.5144,0.510935
11,0.3715,0.12894999999999998,0.8455,0.3335,0.2537,0.3841925
12,0.3715,0.12894999999999998,0.8455,0.3335,0.5024,0.42149749999999997
13,0.8206,0.7029000000000001,0.4275,0.3335,0.7932,0.659735
14,0.3715,0.4105,0.248125,0.3335,0.8351999999999999,0.42233
15,0.3715,0.5215000000000001,0.39475000000000005,0.3335,0.5111000000000001,0.43079
16,0.8206,0.7890999999999999,0.25750000000000006,0.3335,0.4439,0.5948899999999999
17,0.3715,0.12894999999999998,0.8455,0.3335,0.2537,0.3841925
18,0.3715,0.8873,0.4975,0.3335,0.4423,0.53247
19,0.3715,0.4648,0.124,0.81365,0.2537,0.37187000000000003
20,0.3715,0.12894999999999998,0.8455,0.3335,0.8954,0.48044749999999997
21,0.3715,0.779,0.312875,0.9589,0.8215999999999999,0.587905
22,0.3715,0.3222,0.201375,0.74365,0.39859999999999995,0.36643000000000003
23,0.9591000000000001,0.70115,0.8455,0.74365,0.40159999999999996,0.7667225
24,0.8206,0.5439,0.39849999999999997,0.9351,0.3711,0.61103
25,0.3715,0.5885,0.3015,0.3335,0.5043,0.42787
26,0.3715,0.6282000000000001,0.08987499999999998,0.3335,0.2537,0.35788000000000003
27,0.3715,0.12894999999999998,0.8455,0.3335,0.413,0.4080875
28,0.3715,0.3185,0.233625,0.9735999999999999,0.2537,0.373215
29,0.8206,0.7333000000000001,0.4085,0.3335,0.8075999999999999,0.6656949999999999
30,0.3715,0.12894999999999998,0.8455,0.3335,0.452,0.41393749999999996
31,0.8206,0.763,0.5815000000000001,0.3335,0.7724,0.70244
32,0.3715,0.68695,0.103125,0.3335,0.2537,0.3752175
33,0.3715,0.9541999999999999,0.52,0.8553,0.73,0.64903
34,0.3715,0.12894999999999998,0.8455,0.3335,0.9914000000000001,0.4948475
35,0.3715,0.12894999999999998,0.8455,0.3335,0.4382,0.4118675
36,0.3715,0.679,0.29874999999999996,0.3335,0.4727,0.44520499999999996
37,0.3715,0.12894999999999998,0.8455,0.3335,0.9726,0.49202749999999995
38,0.3715,0.5582,0.37024999999999997,0.3335,0.2537,0.396455
39,0.3715,0.2822,0.250125,0.7933499999999999,0.48919999999999997,0.38473999999999997
40,0.3715,0.3638,0.34099999999999997,0.3335,0.49639999999999995,0.37840999999999997
41,0.3715,0.5423,0.2215,0.97745,0.2537,0.42712500000000003
42,0.3715,0.7837,0.227,0.3335,0.4691,0.45648999999999995
43,0.3715,0.48375,0.8455,0.3335,0.8772,0.5664175
44,0.8742000000000001,0.7415,0.2135,0.3335,0.39430000000000004,0.5828300000000001
45,0.3715,0.12894999999999998,0.8455,0.3335,0.2537,0.3841925
46,0.8206,0.8044,0.4615,0.81365,0.47479999999999994,0.692165
47,0.3715,0.12894999999999998,0.8455,0.74365,0.9481999999999999,0.5293825
48,0.3715,0.54495,0.15874999999999995,0.7734,0.2537,0.39483250000000003
49,0.3715,0.6808000000000001,0.11787500000000001,0.3335,0.5168,0.416095
50,0.3715,0.7108,0.40224999999999994,0.3335,0.9034,0.53846
51,0.3715,0.6544,0.25325000000000003,0.3335,0.2537,0.39710500000000004
52,0.3715,0.6066,0.18137500000000004,0.3335,0.2537,0.37078
53,0.3715,0.6302,0.11262499999999998,0.74365,0.2537,0.40394500000000005
54,0.9338,0.8612,0.45599999999999996,0.3335,0.2537,0.658045
55,0.3715,0.28955,0.8455,0.81365,0.2537,0.47235750000000004
56,0.3715,0.12894999999999998,0.8455,0.3335,0.7203999999999999,0.4541975
57,0.3715,0.12894999999999998,0.8455,0.81365,0.7454000000000001,0.5059625
58,0.3715,0.4116000000000001,0.459,0.3335,0.8258,0.46337
59,0.3715,0.35819999999999996,0.3915,0.3335,0.2537,0.350705
60,0.8742000000000001,0.39139999999999997,0.435,0.3335,0.2537,0.518515
61,0.9192,0.8542,0.4665,0.3335,0.2537,0.654015
62,0.3715,0.5278,0.20362500000000003,0.3335,0.2537,0.35553
